prizeLabel,personLabel,sexlabel
Premio O. Henry,Graham Joyce,masculino
Premio O. Henry,Sherman Alexie,masculino
Premio Pulitzer,Dexter Filkins,masculino
Premio Pulitzer,Malcolm Johnson,masculino
Premio Pulitzer,Pir Zubair Shah,masculino
Premio Pulitzer,Stephen Schiff,masculino
Premio Nobel de Literatura,Jaroslav Seifert,masculino
Premio Nobel de Literatura,Eyvind Johnson,masculino
Gran Premio de Novela de la Academia Francesa,Antoine de Saint-Exupéry,masculino
Premio Camões,Miguel Torga,masculino
Premio Nadal,Miguel Delibes,masculino
Premio Nobel de Literatura,Claude Simon,masculino
Gran Premio de Novela de la Academia Francesa,Michel Tournier,masculino
Premio Goncourt,Yann Queffélec,masculino
Premio Goncourt,Léon Frapié,masculino
Premio Goncourt,Jacques Laurent,masculino
Premio Goncourt,Jean Rouaud,masculino
Gran Premio de Novela de la Academia Francesa,Amélie Nothomb,femenino
Premio O. Henry,Jhumpa Lahiri,femenino
Gran Premio de Novela de la Academia Francesa,François Mauriac,masculino
Premio Nadal,Ana María Matute,femenino
Premio Camões,Sophia de Mello Breyner,femenino
Premio Nadal,Lucía Etxebarria,femenino
Premio Nobel de Literatura,Derek Walcott,masculino
Premio Nobel de Literatura,Frans Eemil Sillanpää,masculino
Premio O. Henry,James Gould Cozzens,masculino
Premio Pulitzer,Yannis Behrakis,masculino
Premio Pulitzer,Roman Anin,masculino
Premio Pulitzer,John Moore,masculino
Premio Camões,José Saramago,masculino
Premio Nobel de Literatura,Roger Martin du Gard,masculino
Premio Nobel de Literatura,Aleksandr Solzhenitsyn,masculino
Premio Biblioteca Breve,Gioconda Belli,femenino
Gran Premio de Novela de la Academia Francesa,Calixthe Beyala,femenino
Premio Pulitzer,Stephanie Sinclair,femenino
Premio Pulitzer,Jane Spencer,femenino
Gran Premio de Novela de la Academia Francesa,Jonathan Littell,masculino
Gran Premio de Novela de la Academia Francesa,Georges Bernanos,masculino
Premio O. Henry,William Trevor,masculino
Premio Nobel de Literatura,Karl Adolph Gjellerup,masculino
Premio O. Henry,Edward P. Jones,masculino
Premio O. Henry,Peter Matthew Hillsman Taylor,masculino
Premio O. Henry,James Tabor,masculino
Premio O. Henry,Kelly Link,femenino
Premio O. Henry,Shirley Hazzard,femenino
Premio Nobel de Literatura,Camilo José Cela,masculino
Premio Nobel de Literatura,Verner von Heidenstam,masculino
Premio Nobel de Literatura,Patrick White,masculino
Premio Nobel de Literatura,José Echegaray,masculino
Premio de la Paz del Comercio Librero Alemán,Władysław Bartoszewski,masculino
Premio Camões,Mia Couto,masculino
Premio de la Paz del Comercio Librero Alemán,Lev Kópelev,masculino
Premio de la Paz del Comercio Librero Alemán,Liao Yiwu,masculino
Premio Nadal,Juan José Saer,masculino
Premio Nadal,José Asenjo Sedano,masculino
Premio de la Paz del Comercio Librero Alemán,Sebastião Salgado,masculino
Premio Nadal,Álvaro Pombo,masculino
Premio Nadal,Rosa Regàs,femenino
Premio Nobel de Literatura,Johannes Vilhelm Jensen,masculino
Premio Nadal,Carmen Laforet,femenino
Premio Camões,Paulina Chiziane,femenino
Premio Camões,Rachel de Queiroz,femenino
Premio O. Henry,Deborah Eisenberg,femenino
Premio Nobel de Literatura,Saint-John Perse,masculino
Premio Nadal,Ángela Vallvey,femenino
Premio Nadal,Maruja Torres,femenino
Premio Nadal,Carmen Martín Gaite,femenino
Premio Nobel de Literatura,Juan Ramón Jiménez,masculino
Premio Nobel de Literatura,José Saramago,masculino
Premio Camões,Agustina Bessa-Luís,femenino
Premio Nadal,Fernando Arrabal,masculino
Premio de la Paz del Comercio Librero Alemán,György Konrád,masculino
Premio Strega,Giovanni Arpino,masculino
Premio Strega,Giorgio Pressburger,masculino
Premio Nadal,Guillermo Martínez,masculino
Premio Biblioteca Breve,Guillermo Cabrera Infante,masculino
Premio de la Paz del Comercio Librero Alemán,Yaşar Kemal,masculino
Premio Camões,Raduan Nassar,masculino
Premio Pulitzer,Barbara Davidson,femenino
Premio Pulitzer,Esther Htusan,femenino
Premio Pulitzer,Jessica Rinaldi,femenino
Premio Pulitzer,Emily Steel,femenino
Premio Pulitzer,Stephanie McCrummen,femenino
Premio Nadal,Clara Sánchez,femenino
Premio Camões,Lygia Fagundes Telles,femenino
Premio Nobel de Literatura,Harry Martinson,masculino
Premio Nadal,Rafael Sánchez Ferlosio,masculino
Gran Premio de Novela de la Academia Francesa,Patrick Modiano,masculino
Gran Premio de Novela de la Academia Francesa,Émile Henriot,masculino
Premio Camões,Ferreira Gullar,masculino
Premio Nadal,Juan José Millás,masculino
Premio Nobel de Literatura,Erik Axel Karlfeldt,masculino
Premio Nobel de Literatura,Shmuel Yosef Agnón,masculino
Gran Premio de Novela de la Academia Francesa,Pierre Benoît,masculino
Gran Premio de Novela de la Academia Francesa,Bertrand Poirot-Delpech,masculino
Gran Premio de Novela de la Academia Francesa,Pierre-Jean Rémy,masculino
Premio Camões,Chico Buarque,masculino
Premio Camões,António Lobo Antunes,masculino
Premio Pulitzer,Ronald Glenn Callvert,masculino
Premio Pulitzer,Dibya Ranjan Giri,masculino
Premio Nobel de Literatura,Alice Munro,femenino
Premio Pulitzer,Gaylord Shaw,masculino
Premio Pulitzer,John Carreyrou,masculino
Premio Pulitzer,Boris Yurchenko,masculino
Premio Nobel de Literatura,Patrick Modiano,masculino
Premio Camões,Maria Velho da Costa,femenino
Premio Nobel de Literatura,Giorgos Seferis,masculino
Gran Premio de Novela de la Academia Francesa,Alphonse de Châteaubriant,masculino
Gran Premio de Novela de la Academia Francesa,Sorj Chalandon,masculino
Gran Premio de Novela de la Academia Francesa,Pascal Quignard,masculino
Premio Biblioteca Breve,Rosa Regàs,femenino
Premio Camões,Rubem Fonseca,masculino
Premio Nobel de Literatura,Samuel Beckett,masculino
