prizeLabel,personLabel,sexlabel
Premio Planeta,Fernando Schwartz,masculino
Premio Planeta,Rodrigo Rubio,masculino
Premio Planeta,Francisco González Ledesma,masculino
Premio Nacional de Literatura Infantil y Juvenil,Agustín Fernández Paz,masculino
Premio Nacional de Narrativa,Unai Elorriaga López de Letona,masculino
Premio Planeta,Maria de la Pau Janer,femenino
Premio Planeta,Marcela Serrano,femenino
Premio Planeta,Soledad Puértolas,femenino
Premio Planeta,Alicia Giménez Bartlett,femenino
Premio Planeta,Ana María Matute,femenino
Premio Planeta,Lucía Etxebarria,femenino
Premio Planeta,Rosa Regàs,femenino
Premio Nacional de Narrativa,Cristina Fernández Cubas,femenino
Premio Booker,Thomas Keneally,masculino
Premio Booker,John Banville,masculino
Premio Nacional de Narrativa,Luis Mateo Díez,masculino
Premio Nacional de Literatura Infantil y Juvenil,Xabier P. Docampo,masculino
Premio Nacional de Poesía,Dámaso Alonso,masculino
Premio Planeta,Manuel Vázquez Montalbán,masculino
Premio Planeta,Fernando Savater,masculino
Premio Nacional de Narrativa,Antonio Muñoz Molina,masculino
Premio Nacional de Narrativa,Concha Espina,femenino
Premio Planeta,Antonio Muñoz Molina,masculino
Premio Nacional de Poesía,Antonio Colinas,masculino
Premio Nacional de Poesía,Leopoldo de Luis,masculino
Premio Planeta,Javier Cercas,masculino
Premio Nacional de Poesía,Gerardo Diego,masculino
Premio Nacional de Narrativa,Jesús Fernández Santos,masculino
Premio Nacional de Narrativa,Vicente Molina Foix,masculino
Premio Planeta,Fernando González Delgado,masculino
Premio Planeta,Jesús Zárate,masculino
Premio Planeta,Jorge Díaz,masculino
Premio Planeta,Carmen Kurtz,femenino
Premio Planeta,Carlos Rojas Vila,masculino
Premio Planeta,Jesús Fernández Santos,masculino
Premio Princesa de Asturias de las Letras,Leonard Cohen,masculino
Premio Nacional de Narrativa,Ignacio Martínez de Pisón,masculino
Premio Nacional de Literatura Infantil y Juvenil,Miquel Desclot,masculino
Premio Nacional de Narrativa,Carlos Rojas Vila,masculino
Premio Nacional de Narrativa,Ramiro Pinilla,masculino
Premio Nacional de Poesía,Ángel García López,masculino
Premio Nacional de Poesía,Joan Vinyoli,masculino
Premio Planeta,Marta Portal,femenino
Premio Princesa de Asturias de las Letras,Günter Grass,masculino
Premio Nacional de Narrativa,Carmen Martín Gaite,femenino
Premio Nacional de Narrativa,Almudena Grandes,femenino
Premio Nacional de Literatura Infantil y Juvenil,Jaume Ribera,masculino
Premio Nacional de Narrativa,Gustavo Martín Garzo,masculino
Premio Nacional de Literatura Infantil y Juvenil,Gustavo Martín Garzo,masculino
Premio Planeta,Carmen Mola,femenino
Premio Nacional del Libro de Ficción,William Faulkner,masculino
Premio Planeta,Ramón J. Sender,masculino
Premio Planeta,Terenci Moix,masculino
Premio Planeta,Daniel Sánchez Arévalo,masculino
Premio Planeta,José Luis Olaizola,masculino
Premio Planeta,Andrés Bosch,masculino
Premio Planeta,Fernando Sánchez Dragó,masculino
Premio Planeta,José María Gironella,masculino
Premio Planeta,Ricardo de la Cierva y Hoces,masculino
Premio Planeta,Antonio Larreta,masculino
Premio Planeta,Juan Marsé,masculino
Premio Planeta,Gonzalo Torrente Ballester,masculino
Premio Nacional de Poesía,José Hierro,masculino
Premio Planeta,Juan Manuel de Prada,masculino
Premio Nacional de Poesía,Luis Rosales,masculino
Premio Nacional de Poesía,Antonio Gamoneda,masculino
Premio Planeta,Jorge Semprún,masculino
Premio Planeta,Cristina López Barrio,femenino
Premio Planeta,Eva García Sáenz de Urturi,femenino
Premio Planeta,Juan Antonio Vallejo-Nágera,masculino
Premio Planeta,Juan José Mira,masculino
Premio Planeta,Luis Romero,masculino
Premio Planeta,Fernando Bermúdez de Castro,masculino
Premio Planeta,Manuel Ferrand Murillo,masculino
Premio Planeta,Agustín Martínez,masculino
Premio Planeta,Carlos Rojas,masculino
Premio Planeta,Mercedes Salisachs,femenino
Premio Planeta,Care Santos,femenino
Premio Princesa de Asturias de las Letras,Amin Maalouf,masculino
Premio Planeta,Juan Benet,masculino
Premio Planeta,Boris Izaguirre,masculino
Premio Planeta,Jaime Bayly,masculino
Premio Nacional de Narrativa,Alberto Méndez,masculino
Premio Nacional de Literatura Infantil y Juvenil,Josep Vallverdú,masculino
Premio Nacional de Narrativa,José Luis Acquaroni,masculino
Premio Nacional de Literatura Infantil y Juvenil,Carmen Bravo-Villasante,femenino
Premio Nacional de Literatura Infantil y Juvenil,Carmen Vázquez-Vigo,femenino
Premio Nacional de Literatura Infantil y Juvenil,Emilio Pascual,masculino
Premio Nacional de Literatura Infantil y Juvenil,Alfredo Gómez Cerdá,masculino
Premio Planeta,Dolores Redondo,femenino
Premio Booker,George Saunders,masculino
Premio Booker,Richard Flanagan,masculino
Premio Nacional del Libro de Ficción,William T. Vollmann,masculino
Premio Nacional del Libro de Ficción,Thomas Pynchon,masculino
Premio Princesa de Asturias de las Letras,Mario Vargas Llosa,masculino
Premio Princesa de Asturias de las Letras,Susan Sontag,femenino
Premio Nacional del Libro de Ficción,Susan Sontag,femenino
Premio Princesa de Asturias de las Letras,Margaret Atwood,femenino
Premio Nacional del Libro de Ficción,John Steinbeck,masculino
Premio Princesa de Asturias de las Letras,Doris Lessing,femenino
Premio Planeta,Emilio Romero Gómez,masculino
Premio Planeta,Raúl Guerra Garrido,masculino
Premio Booker,Neel Mukherjee,masculino
Premio Booker,Marlon James,masculino
Premio Booker,Douglas Stuart,masculino
Premio Booker,Dibya Ranjan Giri,masculino
Premio Nacional del Libro de Ficción,Saul Bellow,masculino
Premio Nacional del Libro de Ficción,Joyce Carol Oates,femenino
Premio Princesa de Asturias de las Letras,John Banville,masculino
Premio Nacional del Libro de Ficción,John Barth,masculino
Premio Planeta,Tomás Salvador,masculino
Premio Planeta,Torcuato Luca de Tena,masculino
Premio Nacional de Poesía,Luis García Montero,masculino
Premio Planeta,Juan José Millás,masculino
Premio Nacional del Libro de Ficción,John Irving,masculino
Premio Princesa de Asturias de las Letras,Francisco Ayala,masculino
Premio Nacional del Libro de Ficción,William Gaddis,masculino
Premio Nacional del Libro de Ficción,Pete Dexter,masculino
Premio Nacional del Libro de Ficción,James Jones,masculino
Premio Planeta,Lorenzo Silva,masculino
Premio Nacional del Libro de Ficción,Walker Percy,masculino
Premio Princesa de Asturias de las Letras,Ismail Kadare,masculino
Premio Princesa de Asturias de las Letras,Arthur Miller,masculino
Premio Princesa de Asturias de las Letras,Camilo José Cela,masculino
Premio Nacional del Libro de Ficción,John Updike,masculino
Premio de la Crítica Española,Vicente Aleixandre,masculino
Premio Princesa de Asturias de las Letras,Amos Oz,masculino
Premio Nacional del Libro de Ficción,Thornton Wilder,masculino
Premio Princesa de Asturias de las Letras,Miguel Delibes,masculino
Premio Princesa de Asturias de las Letras,Carlos Fuentes,masculino
Premio Planeta,Nativel Preciado,femenino
Premio Nacional del Libro de Ficción,Andrea Barrett,femenino
Premio Planeta,Alfredo Bryce Echenique,masculino
Premio Nacional del Libro de Ficción,Bernard Malamud,masculino
Premio Planeta,Santiago Lorén,masculino
Premio Planeta,Santiago Posteguillo,masculino
Premio Princesa de Asturias de las Letras,Fred Vargas,femenino
Premio Princesa de Asturias de las Letras,Fatema Mernissi,femenino
Premio Nacional del Libro de Ficción,Annie Proulx,femenino
Gran Premio de Novela de la Academia Francesa,Éric Neuhoff,masculino
Gran Premio de Novela de la Academia Francesa,Étienne de Montety,masculino
Gran Premio de Novela de la Academia Francesa,Adrien Bosc,masculino
Premio de la Paz del Comercio Librero Alemán,Theodor Heuss,masculino
Premio Princesa de Asturias de las Letras,Philip Roth,masculino
Premio Nacional del Libro de Ficción,Philip Roth,masculino
Premio Princesa de Asturias de las Letras,Francisco Umbral,masculino
Premio Nacional del Libro de Ficción,E. L. Doctorow,masculino
Premio Nacional del Libro de Ficción,John Cheever,masculino
Premio Nacional de Poesía,Carmen Conde,femenino
Premio Nacional del Libro de Ficción,Jonathan Franzen,masculino
Premio Nacional del Libro de Ficción,Jerzy Kosinski,masculino
Premio Princesa de Asturias de las Letras,Adam Zagajewski,masculino
Gran Premio de Novela de la Academia Francesa,Liliane Guignabodet,femenino
Premio de la Crítica Española,Rosa Chacel,femenino
Premio de la Crítica Española,Núria Perpinyà,femenino
Gran Premio de Novela de la Academia Francesa,Joël Dicker,masculino
Gran Premio de Novela de la Academia Francesa,Louis Gardel,masculino
Gran Premio de Novela de la Academia Francesa,Louis de Blois,masculino
Premio Planeta,Cristóbal Zaragoza,masculino
Premio Planeta,Xavier Benguerel,masculino
Premio Planeta,Antonio Skármeta,masculino
Premio Princesa de Asturias de las Letras,Juan Rulfo,masculino
Premio de la Paz del Comercio Librero Alemán,Fritz Stern,masculino
Premio de la Paz del Comercio Librero Alemán,Alexander Mitscherlich,masculino
Premio de la Paz del Comercio Librero Alemán,Wolf Lepenies,masculino
Premio Nacional del Libro de Ficción,Wallace Stegner,masculino
Premio Princesa de Asturias de las Letras,Claudio Magris,masculino
Premio Nacional del Libro de Ficción,Denis Johnson,masculino
Premio de la Paz del Comercio Librero Alemán,Paul Tillich,masculino
Premio de la Paz del Comercio Librero Alemán,Augustin Bea,masculino
Premio Nacional del Libro de Ficción,Flannery O'Connor,femenino
Premio Nacional del Libro de Ficción,Katherine Anne Porter,femenino
Premio de la Paz del Comercio Librero Alemán,Marion Dönhoff,femenino
Premio Princesa de Asturias de las Letras,Pablo García Baena,masculino
Premio Princesa de Asturias de las Letras,Francisco Nieva,masculino
Premio Nacional del Libro de Ficción,William Styron,masculino
Premio Princesa de Asturias de las Letras,Álvaro Mutis,masculino
Premio de la Crítica Española,Juana Castro Muñoz,femenino
Premio de la Crítica Española,Elías Gómez Picazo,masculino
Premio Nacional del Libro de Ficción,Ellen Gilchrist,femenino
Premio de la Paz del Comercio Librero Alemán,Hermann Hesse,masculino
Premio de la Paz del Comercio Librero Alemán,Jan Assmann,masculino
Premio de la Paz del Comercio Librero Alemán,Carl Friedrich von Weizsäcker,masculino
Premio de la Paz del Comercio Librero Alemán,Alfred Grosser,masculino
Premio de la Paz del Comercio Librero Alemán,Martin Buber,masculino
Premio de la Paz del Comercio Librero Alemán,Karl Dedecius,masculino
Premio de la Paz del Comercio Librero Alemán,Jürgen Habermas,masculino
Premio de la Crítica Española,Raquel Lanseros,femenino
Premio Nacional del Libro de Ficción,Alice Walker,femenino
Premio Nacional del Libro de Ficción,Eudora Welty,femenino
Premio Princesa de Asturias de las Letras,Siri Hustvedt,femenino
Premio Princesa de Asturias de las Letras,Nélida Piñón,femenino
Premio Princesa de Asturias de las Letras,Carmen Martín Gaite,femenino
Premio Princesa de Asturias de las Letras,Richard Ford,masculino
Premio Nacional del Libro de Ficción,John O'Hara,masculino
Premio de la Paz del Comercio Librero Alemán,Annemarie Schimmel,femenino
Premio de la Paz del Comercio Librero Alemán,Reinhold Schneider,masculino
Premio de la Paz del Comercio Librero Alemán,Manès Sperber,masculino
Premio de la Paz del Comercio Librero Alemán,Václav Havel,masculino
Premio de la Paz del Comercio Librero Alemán,Nelly Sachs,femenino
Premio de la Paz del Comercio Librero Alemán,Siegfried Lenz,masculino
Premio de la Crítica Española,María Victoria Atencia,femenino
Gran Premio de Novela de la Academia Francesa,Roger Chauviré,masculino
Gran Premio de Novela de la Academia Francesa,Yves Gandon,masculino
Gran Premio de Novela de la Academia Francesa,Édouard Peisson,masculino
Premio de la Crítica Española,Antonio Muñoz Molina,masculino
Premio Princesa de Asturias de las Letras,Antonio Muñoz Molina,masculino
Premio Princesa de Asturias de las Letras,Leonardo Padura Fuentes,masculino
Premio Nacional del Libro de Ficción,Ralph Ellison,masculino
Premio Nacional del Libro de Ficción,Don DeLillo,masculino
Premio Princesa de Asturias de las Letras,Gonzalo Torrente Ballester,masculino
Premio Princesa de Asturias de las Letras,Arturo Uslar Pietri,masculino
Premio de la Crítica Española,José María Guelbenzu,masculino
Premio Princesa de Asturias de las Letras,José Ángel Valente,masculino
Premio Princesa de Asturias de las Letras,Paul Auster,masculino
Premio Princesa de Asturias de las Letras,Claudio Rodríguez,masculino
Premio Princesa de Asturias de las Letras,Ricardo Gullón,masculino
Premio de la Crítica Española,Claudio Rodríguez Fer,masculino
Premio Nacional del Libro de Ficción,Richard Powers,masculino
Premio Princesa de Asturias de las Letras,Emmanuel Carrère,masculino
Premio de la Crítica Española,Luis Rosales,masculino
Premio Princesa de Asturias de las Letras,Ángel González,masculino
Premio Princesa de Asturias de las Letras,José Hierro,masculino
Premio de la Paz del Comercio Librero Alemán,Karl Jaspers,masculino
Gran Premio de Novela de la Academia Francesa,Yvonne Pagniez,femenino
Premio de la Paz del Comercio Librero Alemán,Albert Schweitzer,masculino
Premio de la Paz del Comercio Librero Alemán,Friedrich Schorlemmer,masculino
Premio de la Paz del Comercio Librero Alemán,Jaron Lanier,masculino
Premio de la Paz del Comercio Librero Alemán,Carl Jacob Burckhardt,masculino
Premio Princesa de Asturias de las Letras,Anne Carson,femenino
Premio de la Paz del Comercio Librero Alemán,Ernst Bloch,masculino
Premio de la Paz del Comercio Librero Alemán,Mario Vargas Llosa,masculino
Premio de la Paz del Comercio Librero Alemán,Max Frisch,masculino
Premio de la Crítica Española,Lorenzo Oliván,masculino
Premio de la Crítica Española,Guillermo Carnero,masculino
Premio Princesa de Asturias de las Letras,Rafael Lapesa Melgar,masculino
Premio de la Paz del Comercio Librero Alemán,Hans Jonas,masculino
Premio de la Paz del Comercio Librero Alemán,Martin Walser,masculino
Premio de la Paz del Comercio Librero Alemán,Romano Guardini,masculino
Premio de la Paz del Comercio Librero Alemán,Octavio Paz,masculino
Premio de la Paz del Comercio Librero Alemán,Aleida Assmann,femenino
Gran Premio de Novela de la Academia Francesa,Pierre Lagarde,masculino
Gran Premio de Novela de la Academia Francesa,Pierre Moustiers,masculino
Gran Premio de Novela de la Academia Francesa,Pierre Villetard,masculino
Gran Premio de Novela de la Academia Francesa,Robert Bourget-Pailleron,masculino
Gran Premio de Novela de la Academia Francesa,Robert Margerit,masculino
Gran Premio de Novela de la Academia Francesa,Marie Ferranti,femenino
Premio de la Paz del Comercio Librero Alemán,Roger Schutz,masculino
Premio de la Paz del Comercio Librero Alemán,Amartya Sen,masculino
Premio de la Paz del Comercio Librero Alemán,Navid Kermani,masculino
Premio de la Paz del Comercio Librero Alemán,Amos Oz,masculino
Premio de la Paz del Comercio Librero Alemán,Thornton Wilder,masculino
Gran Premio de Novela de la Academia Francesa,Marc Blancpain,masculino
Gran Premio de Novela de la Academia Francesa,Marc Bressant,masculino
Gran Premio de Novela de la Academia Francesa,Michel de Saint Pierre,masculino
Gran Premio de Novela de la Academia Francesa,Pascal Jardin,masculino
Premio de la Paz del Comercio Librero Alemán,Alva Myrdal,femenino
Premio Nacional del Libro de Ficción,Cormac McCarthy,masculino
Premio Nacional del Libro de Ficción,Louise Erdrich,femenino
Premio de la Paz del Comercio Librero Alemán,George F. Kennan,masculino
Premio de la Paz del Comercio Librero Alemán,Sarvepalli Radhakrishnan,masculino
Premio de la Paz del Comercio Librero Alemán,Chinua Achebe,masculino
Premio de la Paz del Comercio Librero Alemán,Orhan Pamuk,masculino
Premio de la Paz del Comercio Librero Alemán,Yehudi Menuhin,masculino
Premio de la Crítica Española,Abelardo Linares,masculino
Premio de la Crítica Española,Antonio Soler,masculino
Premio de la Paz del Comercio Librero Alemán,Janusz Korczak,masculino
Premio de la Paz del Comercio Librero Alemán,David Grossman,masculino
Premio de la Paz del Comercio Librero Alemán,Péter Esterházy,masculino
Premio de la Paz del Comercio Librero Alemán,Gabriel Marcel,masculino
Premio de la Crítica Española,José María Merino,masculino
Premio Princesa de Asturias de las Letras,Carlos Bousoño,masculino
Premio de la Crítica Española,Arcadio López Casanova,masculino
Premio de la Paz del Comercio Librero Alemán,Assia Djebar,femenino
Gran Premio de Novela de la Academia Francesa,Paule Régnier,femenino
Premio de la Paz del Comercio Librero Alemán,Tsitsi Dangarembga,femenino
Premio de la Paz del Comercio Librero Alemán,Svetlana Aleksiévich,femenino
Premio de la Paz del Comercio Librero Alemán,Margaret Atwood,femenino
Premio de la Paz del Comercio Librero Alemán,Gunnar Myrdal,masculino
Premio Princesa de Asturias de las Letras,Augusto Monterroso,masculino
Premio de la Paz del Comercio Librero Alemán,Anselm Kiefer,masculino
Premio literario Nike,Joanna Bator,femenino
Premio Hans Christian Andersen,Agnia Bartó,femenino
Premio de la Paz del Comercio Librero Alemán,Astrid Lindgren,femenino
Premio Hans Christian Andersen,Uri Orlev,masculino
Premio Hans Christian Andersen,david almond,masculino
Premio de la Paz del Comercio Librero Alemán,Susan Sontag,femenino
Premio de la Paz del Comercio Librero Alemán,Max Tau,masculino
Gran Premio de Novela de la Academia Francesa,Paul Acker,masculino
Gran Premio de Novela de la Academia Francesa,Paul Mousset,masculino
Gran Premio de Novela de la Academia Francesa,Pham Van Ky,masculino
Premio de la Crítica Española,Ignacio Aldecoa,masculino
Premio de la Crítica Española,Luis Goytisolo,masculino
Premio Café Gijón,José Carlos Somoza,masculino
Premio Castilla y León de las Letras,José Jiménez Lozano,masculino
Premio Anagrama,Xavier Rubert de Ventós,masculino
Premio de la Paz del Comercio Librero Alemán,Léopold Sédar Senghor,masculino
Premio de la Paz del Comercio Librero Alemán,Leszek Kołakowski,masculino
Premio de la Paz del Comercio Librero Alemán,Jorge Semprún,masculino
Premio Hans Christian Andersen,Dušan Kállay,masculino
Premio Hans Christian Andersen,Robert Ingpen,masculino
Premio Goncourt,Patrick Grainville,masculino
Premio Goncourt,Paul Colin,masculino
Premio Nacional de Poesía,Alfonsa de la Torre,femenino
Premio Hans Christian Andersen,Dvora Omer,femenino
Premio Hans Christian Andersen,Martin Waddell,masculino
Premio Hans Christian Andersen,Bohumil Říha,masculino
Premio Hans Christian Andersen,Villy Sørensen,masculino
Premio literario Nike,Karol Modzelewski,masculino
Premio Hans Christian Andersen,Jörg Müller,masculino
Premio Hans Christian Andersen,Nahum Gutman,masculino
Premio de la Paz del Comercio Librero Alemán,Ernesto Cardenal,masculino
Premio de la Paz del Comercio Librero Alemán,Teddy Kollek,masculino
Premio Castilla y León de las Letras,Josefina Aldecoa,femenino
Premio Castilla y León de las Letras,Rosa Chacel,femenino
Premio El Barco de Vapor,Care Santos,femenino
Premio Nacional de Poesía,Olvido García Valdés,femenino
Premio Iberoamericano de Poesía Pablo Neruda,Elvira Hernández,femenino
Premio Café Gijón,Dolores Soler-Espiauba,femenino
Premio Iberoamericano de Poesía Pablo Neruda,Ernesto Cardenal,masculino
Premio Café Gijón,César González-Ruano,masculino
Premio Anagrama,Dardo Scavino,masculino
Premio Nacional de Poesía,José Manuel Caballero Bonald,masculino
Premio Anagrama,Josep M. Colomer,masculino
Premio Café Gijón,José Antonio Garriga Vela,masculino
Premio Hiperión,José Daniel García,masculino
Premio Café Gijón,José Luis Muñoz Jimeno,masculino
Premio Hiperión,Benjamín Prado,masculino
Premio Nacional de Poesía,Diego Jesús Jiménez,masculino
Premio de la Paz del Comercio Librero Alemán,Claudio Magris,masculino
Premio Goncourt,Éric Vuillard,masculino
Premio Hans Christian Andersen,Baruch Tor-Raz,masculino
Premio literario Nike,Andrzej Franaszek,masculino
Premio Café Gijón,Eduardo Mendicutti,masculino
Premio Café Gijón,Martín Casariego,masculino
Premio Hiperión,Andrés Neuman,masculino
Premio Café Gijón,Carmen Martín Gaite,femenino
Premio Iberoamericano de Poesía Pablo Neruda,Carmen Berenguer,femenino
Premio Hans Christian Andersen,Mira Meir,femenino
Premio Hans Christian Andersen,Nahoko Uehashi,femenino
Premio Café Gijón,José Luis Rodríguez del Corral,masculino
Premio Hiperión,José Manuel Díez,masculino
Premio Hiperión,José María Micó,masculino
Premio Nacional de Poesía,José María Millares,masculino
Premio Nacional de Poesía,Guillermo Carnero,masculino
Premio Hiperión,Javier Cánaves,masculino
Premio Café Gijón,Jorge Ferrer Vidal,masculino
Premio Strega,Manlio Cancogni,masculino
Premio Strega,Vincenzo Consolo,masculino
Premio Nacional de Poesía,Julia Uceda,femenino
Premio Hiperión,Luisa Castro,femenino
Premio Nacional de Poesía,Francisca Aguirre,femenino
Premio Anagrama,José Ovejero,masculino
Premio Café Gijón,Juan María Mansera Conde,masculino
Premio El Barco de Vapor,Juan Muñoz Martín,masculino
Premio Café Gijón,Fernando Quiñones,masculino
Premio Anagrama,Javier Echeverría,masculino
Premio Castilla y León de las Letras,José María Merino,masculino
Premio literario Nike,Marian Pilot,masculino
Premio Hans Christian Andersen,Kelvin Lindemann,masculino
Premio Nacional de Poesía,Julio Martínez Mesanza,masculino
Premio Nacional de Poesía,Juan Carlos Mestre,masculino
Premio Nacional de Poesía,Vicente Gaos,masculino
Premio Nacional de Poesía,Carlos Sahagún,masculino
Premio Nacional de Poesía,Luis Alberto de Cuenca,masculino
Premio Café Gijón,Gonzalo Torrente Malvido,masculino
Premio Nacional de Poesía,Carlos Bousoño,masculino
Premio Nacional de Poesía,William Ospina,masculino
Premio El Barco de Vapor,Joan Manuel Gisbert,masculino
Premio Café Gijón,A. G. Porta,masculino
Premio El Barco de Vapor,Alfonso Martínez-Mena,masculino
Premio Anagrama,José Luis Pardo,masculino
Premio Nacional de Poesía,Francisco Brines,masculino
Premio Nacional de Poesía,Rafael Guillén,masculino
Premio Anagrama,Eugenio Trías,masculino
Premio Nacional de Poesía,Claudio Rodríguez,masculino
Premio Castilla y León de las Letras,Andrés Trapiello,masculino
Premio Nacional de Poesía,Carlos Murciano,masculino
Premio Café Gijón,Diego Doncel,masculino
Premio Café Gijón,José Carol Archs,masculino
Premio Nacional de Poesía,Antònia Vicens,femenino
Premio Hiperión,Laura Campmany,femenino
Premio Hans Christian Andersen,Sh. Shifra,femenino
Premio Goncourt,Leïla Slimani,femenino
Premio Nacional de Poesía,Carlos Marzal,masculino
Premio Nacional de Poesía,Miguel Fernández,masculino
Premio El Barco de Vapor,María Baranda,femenino
Premio Hiperión,Miriam Reyes,femenino
Premio Hiperión,Luis Bagué Quílez,masculino
Premio Hiperión,Luis Melgarejo,masculino
Premio Café Gijón,Fulgencio Argüelles,masculino
Premio El Barco de Vapor,José Luis Olaizola,masculino
Premio Nacional de Poesía,Adriano del Valle,masculino
Premio Nacional de Poesía,Ángeles Mora,femenino
Premio Hiperión,Miguel Casado,masculino
Premio Iberoamericano de Poesía Pablo Neruda,Joan Margarit i Consarnau,masculino
Premio Nacional de Poesía,José Ángel Valente,masculino
Premio Nacional de Poesía,Félix Grande,masculino
Premio Dulce Chacón de Narrativa Española,Ignacio Martínez de Pisón,masculino
Premio Goncourt,Pierre Lemaitre,masculino
Premio Goncourt,Roger Ikor,masculino
Premio Goncourt,Thierry Sandre,masculino
Premio Nacional de Poesía,Jose Luis Prado Nogueira,masculino
Premio Café Gijón,Lázaro Covadlo,masculino
Premio Anagrama,Manuel Cruz,masculino
Premio Nacional de Poesía,Alfonso Canales,masculino
Premio Café Gijón,Alfredo Taján,masculino
Premio Iberoamericano de Poesía Pablo Neruda,Gloria Gervitz,femenino
Premio Café Gijón,Rafael Azuar,masculino
Premio Hiperión,Rafael Espejo,masculino
Premio El Barco de Vapor,Pilar Lozano Carbayo,femenino
Premio Dulce Chacón de Narrativa Española,Andrea Abreu López,femenino
Premio Anagrama,Patricia Soley-Beltrán,femenino
Premio Hiperión,David Hernández Sevillano,masculino
Premio Hiperión,Carlos Briones,masculino
Premio Café Gijón,Carmen Boullosa,femenino
Premio Anagrama,Soledad Puértolas,femenino
Premio Café Gijón,Fernando Chivite,masculino
Premio Hiperión,Jesús Aguado,masculino
Premio Café Gijón,Luis Mateo Díez,masculino
Premio Café Gijón,Miguel-Anxo Murado,masculino
Premio Anagrama,Víctor Gómez Pin,masculino
Premio El Barco de Vapor,Fernando Lalana,masculino
Premio El Barco de Vapor,Paco Martín,masculino
Premio Café Gijón,Emilio Sola,masculino
Premio Café Gijón,Luis del Val,masculino
Premio Nacional de Poesía,Luis Álvarez Piñer,masculino
Premio Café Gijón,Luís Blanco Vila,masculino
Premio Café Gijón,Leonardo Padura Fuentes,masculino
Premio literario Nike,Magdalena Grochowska,femenino
Premio Nacional de Poesía,Miren Agur Meabe,femenino
Premio Nacional de Poesía,Pilar Pallarés García,femenino
Premio Café Gijón,Ana María Matute,femenino
Premio El Barco de Vapor,Laura Gallego García,femenino
Premio Nacional de Poesía,José Corredor Matheos,masculino
Premio Nacional de Poesía,Manuel Álvarez Torneiro,masculino
Premio Hiperión,Ana Isabel Conejo,femenino
Premio Hiperión,Carmen Jodra,femenino
Premio Goncourt,Nicolas Mathieu,masculino
Premio Goncourt,Mohamed Mbougar Sarr,masculino
Premio Café Gijón,Víctor Chamorro,masculino
Premio Hiperión,Álvaro García,masculino
Premio Hiperión,Álvaro Tato,masculino
Premio Nacional de Poesía,Antonio Carvajal,masculino
Premio Hiperión,Jorge Ortega,masculino
Premio Anagrama,Norbert Bilbeny,masculino
Premio Anagrama,Manuel Delgado Ruiz,masculino
Premio Anagrama,Antonio Escohotado,masculino
Premio Nacional de Poesía,Basilio Fernández López,masculino
Premio Hiperión,Ben Clark,masculino
Premio Hiperión,Ariadna G. García,femenino
Premio Café Gijón,Begoña García-Diego,femenino
Premio El Barco de Vapor,Andrea Ferrari,femenino
Premio Nacional de Poesía,Antonio Hernández Ramírez,masculino
Premio Castilla y León de las Letras,Eugenio García de Nora,masculino
Premio Café Gijón,Eusebio García Luengo,masculino
Premio Nacional de Poesía,Felipe Benítez Reyes,masculino
Premio Anagrama,Jordi Llovet i Pomar,masculino
Premio Hiperión,Fermín Herrero,masculino
Premio Anagrama,Daniel Gamper,masculino
Premio Café Gijón,Matías Montes Huidobro,masculino
Premio Café Gijón,Víctor Maña,masculino
Premio Hiperión,Juan Manuel Muñoz Aguirre,masculino
